From Date,To Date,PM2.5 average
01-01-2023 00:00,02-01-2023 00:00,140.1839474
02-01-2023 00:00,03-01-2023 00:00,232.9386842
03-01-2023 00:00,04-01-2023 00:00,239.5384211
04-01-2023 00:00,05-01-2023 00:00,179.5273684
05-01-2023 00:00,06-01-2023 00:00,208.5155263
06-01-2023 00:00,07-01-2023 00:00,257.2407895
07-01-2023 00:00,08-01-2023 00:00,239.9128205
08-01-2023 00:00,09-01-2023 00:00,254.9327027
09-01-2023 00:00,10-01-2023 00:00,374.6717949
10-01-2023 00:00,11-01-2023 00:00,232.0589744
11-01-2023 00:00,12-01-2023 00:00,174.1165789
12-01-2023 00:00,13-01-2023 00:00,203.4972973
13-01-2023 00:00,14-01-2023 00:00,215.7440541
14-01-2023 00:00,15-01-2023 00:00,153.7127027
15-01-2023 00:00,16-01-2023 00:00,98.38567568
16-01-2023 00:00,17-01-2023 00:00,142.1205263
17-01-2023 00:00,18-01-2023 00:00,152.3913158
18-01-2023 00:00,19-01-2023 00:00,192.0762162
19-01-2023 00:00,20-01-2023 00:00,198.6338889
20-01-2023 00:00,21-01-2023 00:00,91.90945946
21-01-2023 00:00,22-01-2023 00:00,211.2547368
22-01-2023 00:00,23-01-2023 00:00,249.0073684
23-01-2023 00:00,24-01-2023 00:00,166.6807692
24-01-2023 00:00,25-01-2023 00:00,86.97384615
25-01-2023 00:00,26-01-2023 00:00,104.55
26-01-2023 00:00,27-01-2023 00:00,139.0757895
27-01-2023 00:00,28-01-2023 00:00,91.19868421
28-01-2023 00:00,29-01-2023 00:00,119.2269231
29-01-2023 00:00,30-01-2023 00:00,184.9026316
30-01-2023 00:00,31-01-2023 00:00,79.59394737
31-01-2023 00:00,01-02-2023 00:00,84.14666667
01-02-2023 00:00,02-02-2023 00:00,84.37512821
02-02-2023 00:00,03-02-2023 00:00,87.00102564
03-02-2023 00:00,04-02-2023 00:00,103.6384211
04-02-2023 00:00,05-02-2023 00:00,117.4607895
05-02-2023 00:00,06-02-2023 00:00,103.9484211
06-02-2023 00:00,07-02-2023 00:00,142.0310526
07-02-2023 00:00,08-02-2023 00:00,114.275641
08-02-2023 00:00,09-02-2023 00:00,73.71461538
09-02-2023 00:00,10-02-2023 00:00,91.07526316
10-02-2023 00:00,11-02-2023 00:00,94.20026316
11-02-2023 00:00,12-02-2023 00:00,137.4044737
12-02-2023 00:00,13-02-2023 00:00,55.26
13-02-2023 00:00,14-02-2023 00:00,48.80684211
14-02-2023 00:00,15-02-2023 00:00,63.27641026
15-02-2023 00:00,16-02-2023 00:00,91.4625641
16-02-2023 00:00,17-02-2023 00:00,166.0030769
17-02-2023 00:00,18-02-2023 00:00,222.4610256
18-02-2023 00:00,19-02-2023 00:00,203.7887179
19-02-2023 00:00,20-02-2023 00:00,180.5772973
20-02-2023 00:00,21-02-2023 00:00,146.0420513
21-02-2023 00:00,22-02-2023 00:00,125.4312821
22-02-2023 00:00,23-02-2023 00:00,136.3874359
23-02-2023 00:00,24-02-2023 00:00,82.95894737
24-02-2023 00:00,25-02-2023 00:00,80.91794872
25-02-2023 00:00,26-02-2023 00:00,115.384359
26-02-2023 00:00,27-02-2023 00:00,139.8545946
27-02-2023 00:00,28-02-2023 00:00,117.6382051
28-02-2023 00:00,01-03-2023 00:00,90.64871795
01-03-2023 00:00,02-03-2023 00:00,73.86
02-03-2023 00:00,03-03-2023 00:00,91.36897436
03-03-2023 00:00,04-03-2023 00:00,62.59282051
04-03-2023 00:00,05-03-2023 00:00,56.10641026
05-03-2023 00:00,06-03-2023 00:00,56.42526316
06-03-2023 00:00,07-03-2023 00:00,66.69315789
07-03-2023 00:00,08-03-2023 00:00,85.64868421
08-03-2023 00:00,09-03-2023 00:00,111.8881579
09-03-2023 00:00,10-03-2023 00:00,55.66131579
10-03-2023 00:00,11-03-2023 00:00,90.28675676
11-03-2023 00:00,12-03-2023 00:00,91.14157895
12-03-2023 00:00,13-03-2023 00:00,96.92078947
13-03-2023 00:00,14-03-2023 00:00,106.6018421
14-03-2023 00:00,15-03-2023 00:00,101.0173684
15-03-2023 00:00,16-03-2023 00:00,98.91918919
16-03-2023 00:00,17-03-2023 00:00,103.3118919
17-03-2023 00:00,18-03-2023 00:00,96.31842105
18-03-2023 00:00,19-03-2023 00:00,69.00297297
19-03-2023 00:00,20-03-2023 00:00,80.04648649
20-03-2023 00:00,21-03-2023 00:00,58.12857143
21-03-2023 00:00,22-03-2023 00:00,48.25594595
22-03-2023 00:00,23-03-2023 00:00,77.4125641
23-03-2023 00:00,24-03-2023 00:00,73.17692308
24-03-2023 00:00,25-03-2023 00:00,89.37384615
25-03-2023 00:00,26-03-2023 00:00,42.34410256
26-03-2023 00:00,27-03-2023 00:00,65.99736842
27-03-2023 00:00,28-03-2023 00:00,58.0874359
28-03-2023 00:00,29-03-2023 00:00,68.31076923
29-03-2023 00:00,30-03-2023 00:00,85.68128205
30-03-2023 00:00,31-03-2023 00:00,72.79657895
31-03-2023 00:00,01-04-2023 00:00,32.99236842
01-04-2023 00:00,02-04-2023 00:00,46.64948718
02-04-2023 00:00,03-04-2023 00:00,59.47263158
03-04-2023 00:00,04-04-2023 00:00,70.85789474
04-04-2023 00:00,05-04-2023 00:00,45.26461538
05-04-2023 00:00,06-04-2023 00:00,55.61076923
06-04-2023 00:00,07-04-2023 00:00,44.57736842
07-04-2023 00:00,08-04-2023 00:00,51.70410256
08-04-2023 00:00,09-04-2023 00:00,70.29891892
09-04-2023 00:00,10-04-2023 00:00,104.1622222
10-04-2023 00:00,11-04-2023 00:00,89.64631579
11-04-2023 00:00,12-04-2023 00:00,125.4337838
12-04-2023 00:00,13-04-2023 00:00,80.70405405
13-04-2023 00:00,14-04-2023 00:00,91.4827027
14-04-2023 00:00,15-04-2023 00:00,101.6697222
15-04-2023 00:00,16-04-2023 00:00,100.6582051
16-04-2023 00:00,17-04-2023 00:00,75.24025641
17-04-2023 00:00,18-04-2023 00:00,72.74820513
18-04-2023 00:00,19-04-2023 00:00,77.04153846
19-04-2023 00:00,20-04-2023 00:00,61.51717949
20-04-2023 00:00,21-04-2023 00:00,43.40076923
21-04-2023 00:00,22-04-2023 00:00,42.36974359
22-04-2023 00:00,23-04-2023 00:00,41.97
